Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,DayOfWeek,Hour,RevenuePerUnit,TotalTaxAmount,IsWeekend,LogQuantity,LogTotal,LogGross income,QuantityUnitPrice
750-67-8428,A,Yangon,0,0,Health and beauty,0.7375947446516598,0.5272061050781095,0.9780172357865621,0.9780172357865619,2,522.83,4.761904762,0.9780172357865621,1.2355306388115095,2019,1,5,5,13,522.8299999999999,27.448575,1,2.0794415416798357,6.30986645870209,3.301063921855131,522.8299999999999
226-31-3081,C,Naypyitaw,1,0,Electronic accessories,-1.5214831719280777,-0.16160239872203103,-0.9949287635219286,-0.9949287635219288,0,76.4,4.761904762,-0.9949287635219286,1.5268905434046482,2019,3,8,4,10,76.39999999999999,4.011,0,1.791759469228055,4.397161522258152,1.5727739280625088,76.39999999999999
631-41-3108,A,Yangon,1,1,Home and lifestyle,-0.3408003018758838,0.5272061050781095,0.10068094614939241,0.10068094614939249,1,324.31,4.761904762,0.10068094614939241,0.24490696319483857,2019,3,3,6,13,324.31,17.026275000000002,1,2.0794415416798357,5.833422346794147,2.845810140806696,324.31
123-19-1176,A,Yangon,0,1,Health and beauty,0.11131948314571329,0.8716103569781798,0.7258029397479097,0.7258029397479095,2,465.76,4.761904762,0.7258029397479097,0.8276267723811158,2019,1,27,6,20,465.76,24.4524,1,2.1972245773362196,6.194503345490658,3.1899824012132196,465.76
373-73-7910,A,Yangon,1,1,Sports and travel,1.1794477221075856,0.5272061050781095,1.337490003261312,1.337490003261312,2,604.17,4.761904762,1.337490003261312,-0.978804636096344,2019,2,8,4,10,604.1700000000001,31.718925000000002,0,2.0794415416798357,6.454220884309833,3.4406904936089524,604.1700000000001
699-14-3026,C,Naypyitaw,1,1,Electronic accessories,1.144464525957891,0.5272061050781095,1.3090291645283716,1.3090291645283711,2,597.73,4.761904762,1.3090291645283716,-1.6780684071198768,2019,3,25,0,18,597.73,31.380825,0,2.0794415416798357,6.443521372825845,3.430319195234174,597.73
355-53-5943,A,Yangon,0,0,Electronic accessories,0.5151472473954495,0.18280185317803926,0.4928129680086816,0.4928129680086814,2,413.04,4.761904762,0.4928129680086816,-0.6874447315032054,2019,2,25,0,14,413.04,21.684600000000003,0,1.9459101490553132,6.074637734328736,3.0750978289347315,413.04
315-22-5665,C,Naypyitaw,1,0,Home and lifestyle,0.6946262537286654,1.5604188607783205,1.9183297601977072,1.9183297601977072,2,735.6,4.761904762,1.9183297601977072,0.5945388487066047,2019,2,24,6,11,735.6,38.619,1,2.3978952727983707,6.650770518999156,3.6317798620733637,735.6
665-32-9167,A,Yangon,0,0,Health and beauty,-0.7237141988622153,-1.1948151544222418,-1.0120759769200358,-1.0120759769200358,1,72.52,4.761904762,-1.0120759769200358,0.128363001357583,2019,1,10,3,17,72.52,3.8073,0,1.0986122886681096,4.345699730413866,1.5316925638092473,72.52
692-92-5582,B,Mandalay,0,0,Food and beverages,-0.01720573749120815,-0.8504109025221716,-0.6054925664494554,-0.6054925664494556,1,164.52,4.761904762,-0.6054925664494554,-0.6291727505845773,2019,2,20,2,13,164.52,8.637300000000002,0,1.3862943611198906,5.157594462597167,2.2220255851356288,164.52
