Id,Weekly_Sales
1_1_2012-11-02,29662.933639880965
1_1_2012-11-09,18953.984642857144
1_1_2012-11-16,18983.537083333333
1_1_2012-11-23,20027.099202380956
1_1_2012-11-30,23901.490991071438
1_1_2012-12-07,33323.41670833332
1_1_2012-12-14,44907.74186309522
1_1_2012-12-21,49828.0787202381
1_1_2012-12-28,22942.168157738084
1_1_2013-01-04,16760.51797619048
1_1_2013-01-11,17187.038556547624
1_1_2013-01-18,17885.12543154763
1_1_2013-01-25,18362.032910714297
1_1_2013-02-01,23071.53841964286
1_1_2013-02-08,38026.81975085034
1_1_2013-02-15,51430.03131547622
1_1_2013-02-22,19920.538511904753
1_1_2013-03-01,20557.730074404764
1_1_2013-03-08,21141.92769642857
1_1_2013-03-15,21674.5365922619
1_1_2013-03-22,24215.640416666658
1_1_2013-03-29,57528.376066751676
1_1_2013-04-05,30658.044136904773
1_1_2013-04-12,31504.76800297619
1_1_2013-04-19,18159.67321130952
1_1_2013-04-26,20041.902113095235
1_1_2013-05-03,18357.44087202379
1_1_2013-05-10,17969.372479166654
1_1_2013-05-17,17626.581104166664
1_1_2013-05-24,16924.25650892857
1_1_2013-05-31,16638.690860119044
1_1_2013-06-07,17185.72539583333
1_1_2013-06-14,17222.378119047622
1_1_2013-06-21,16599.150976190478
1_1_2013-06-28,16258.854857142853
1_1_2013-07-05,17098.714842261907
1_1_2013-07-12,16694.414229166672
1_1_2013-07-19,16327.610532738103
1_1_2013-07-26,16024.185517857148
1_2_2012-11-02,45362.1994017857
1_2_2012-11-09,44381.49854336735
1_2_2012-11-16,43583.034906462584
1_2_2012-11-23,45052.10644940477
1_2_2012-11-30,45171.215044642864
1_2_2012-12-07,47432.754764880934
1_2_2012-12-14,49678.832696428544
1_2_2012-12-21,59810.7014315476
1_2_2012-12-28,43404.38628869049
1_2_2013-01-04,43696.73028911562
1_2_2013-01-11,43089.95729506801
1_2_2013-01-18,43038.83525637754
1_2_2013-01-25,42899.43779209182
1_2_2013-02-01,51131.426869047646
1_2_2013-02-08,50068.22977976191
1_2_2013-02-15,48050.91289285715
1_2_2013-02-22,47951.61299404763
1_2_2013-03-01,51236.38671428572
1_2_2013-03-08,48884.26986309523
1_2_2013-03-15,46935.53318154761
1_2_2013-03-22,45766.473529761905
1_2_2013-03-29,49178.50670833331
1_2_2013-04-05,46612.93151488096
1_2_2013-04-12,44954.77550892858
1_2_2013-04-19,45482.51124107143
1_2_2013-04-26,45728.17185714286
1_2_2013-05-03,48990.0117410714
1_2_2013-05-10,47309.82480654761
1_2_2013-05-17,45807.58178571427
1_2_2013-05-24,45912.13803571428
1_2_2013-05-31,47724.734769557814
1_2_2013-06-07,48223.37034991496
1_2_2013-06-14,46924.94056037416
1_2_2013-06-21,46514.758250850355
1_2_2013-06-28,47278.97729251703
1_2_2013-07-05,48206.019655612254
1_2_2013-07-12,45446.0076934524
1_2_2013-07-19,45054.2700994898
1_2_2013-07-26,45023.40244642858
1_3_2012-11-02,9407.9424247449
1_3_2012-11-09,9625.735086309525
1_3_2012-11-16,9562.664818452382
1_3_2012-11-23,9705.694788690476
1_3_2012-11-30,10235.305413690474
1_3_2012-12-07,12029.693392857138
1_3_2012-12-14,12725.340508928566
1_3_2012-12-21,13069.22430654761
1_3_2012-12-28,8983.952702380951
1_3_2013-01-04,14302.199752976192
1_3_2013-01-11,13551.282422619046
1_3_2013-01-18,12270.217188988097
1_3_2013-01-25,11109.713446428568
1_3_2013-02-01,11778.87760714286
1_3_2013-02-08,11821.17250595238
1_3_2013-02-15,10935.08660714286
